Manager,Fund,1,2,3,4,5
30382534,002430,570.04 ,485.98 ,507.71 ,746.13 ,741.98 
30377392,002449,103.01 ,16.73 ,129.08 ,508.57 ,3.46 
30378935,002450,5.81 ,9.79 ,21.66 ,680.92 ,393.33 
30383011,002482,134.84 ,87.60 ,174.79 ,1016.98 ,1053.29 
30000000000000025365,002494,1260.47 ,110.92 ,500.14 ,1120.56 ,976.94 
30000000000000025365,002498,374.40 ,123.76 ,396.55 ,1131.46 ,884.92 
30000000000000022188,002577,226.07 ,158.73 ,252.27 ,403.56 ,248.29 
30000000000000016030,002594,267.66 ,218.51 ,263.75 ,224.46 ,105.90 
30000000000000023739,002605,88.94 ,82.52 ,71.83 ,664.31 ,507.72 
30382534,002616,745.38 ,732.09 ,439.32 ,501.08 ,598.57 
30000000000000022183,002656,274.74 ,580.03 ,943.60 ,1704.43 ,1683.37 
30000000000000021237,002708,45.00 ,126.33 ,241.20 ,734.63 ,1703.05 
30000000000000016591,002717,202.03 ,5.08 ,196.54 ,19.66 ,142.80 
30000000000000018377,002728,133.04 ,1.62 ,170.17 ,424.93 ,336.92 
30000000000000013685,002732,58.18 ,22.84 ,109.87 ,204.63 ,107.93 
30382504,002746,2289.10 ,2037.62 ,1204.20 ,861.71 ,550.09 
30000000000000072235,002783,851.35 ,793.84 ,429.65 ,1027.37 ,1492.29 
30381649,002804,354.34 ,92.50 ,132.76 ,486.68 ,39.73 
30382873,002804,354.34 ,92.50 ,132.76 ,486.68 ,39.73 
30000000000000022183,002900,86.09 ,87.62 ,351.14 ,444.10 ,285.24 
30000000000000026574,002939,1923.66 ,1309.10 ,5783.39 ,14625.23 ,11549.83 
30000000000000023779,002955,191.68 ,105.40 ,216.26 ,480.93 ,137.48 
30000000000000072235,003044,1039.71 ,616.25 ,1406.87 ,1467.37 ,4434.85 
30378805,003095,634.40 ,913.59 ,2028.41 ,10207.68 ,34052.38 
30378602,003117,1.85 ,2.75 ,186.62 ,448.38 ,664.80 
30000000000000021601,003161,1048.88 ,603.03 ,580.02 ,2432.98 ,10606.97 
30000000000000013841,003169,218.94 ,83.81 ,119.62 ,482.39 ,236.77 
30000000000000016896,003189,752.90 ,500.28 ,200.27 ,115.31 ,124.81 
30382070,003304,54.83 ,13.95 ,25.03 ,178.95 ,263.26 
30382538,003308,25.06 ,18.98 ,73.20 ,413.74 ,7.59 
30000000000000022604,003333,76.33 ,48.72 ,49.24 ,29.47 ,23.24 
30000000000000019017,003413,41.43 ,20.78 ,28.37 ,32.43 ,60.92 
30000000000000022104,003476,305.86 ,98.92 ,387.30 ,867.26 ,863.99 
30000000000000021040,003561,77.71 ,504.47 ,269.47 ,125.14 ,67.84 
30000000000000019538,003581,56.06 ,44.63 ,59.19 ,91.69 ,276.35 
30381045,003582,134.88 ,127.50 ,179.85 ,155.94 ,2.12 
30380106,003624,209.01 ,87.46 ,59.92 ,253.50 ,565.87 
30593893,003692,823.94 ,809.75 ,856.34 ,935.68 ,337.59 
30000000000000021080,003692,823.94 ,809.75 ,856.34 ,935.68 ,337.59 
30000000000000017320,003765,54.26 ,210.43 ,288.84 ,367.90 ,305.82 
30381274,003831,540.16 ,499.30 ,578.49 ,700.10 ,195.82 
30000000000000021107,003834,490.39 ,332.87 ,931.74 ,10369.87 ,23490.18 
30382534,003850,417.09 ,115.47 ,331.85 ,460.74 ,594.10 
30000000000000017728,003876,315.51 ,145.26 ,341.18 ,601.98 ,640.00 
30378264,003889,320.23 ,116.39 ,177.12 ,220.69 ,236.56 
30000000000000023484,003940,2796.92 ,2644.06 ,4492.27 ,6909.58 ,6547.16 
30000000000000022183,004069,50.01 ,131.69 ,548.74 ,1571.29 ,2204.20 
30000000000000158407,004138,250.58 ,125.64 ,299.37 ,384.83 ,290.26 
30000000000000017661,004202,135.74 ,37.97 ,363.89 ,699.18 ,997.36 
30000000000000016964,004263,62.53 ,123.73 ,1436.56 ,4546.19 ,2624.16 
30000000000000018879,004266,51.54 ,18.73 ,122.95 ,14.53 ,72.92 
30000000000000072235,004278,1708.20 ,1519.62 ,2680.22 ,5737.80 ,3643.49 
30382067,004316,33.19 ,14.71 ,6.72 ,22.10 ,7.86 
30000000000000021414,004351,460.26 ,191.79 ,141.67 ,67.12 ,69.75 
30000000000000017340,004353,1215.82 ,517.41 ,117.58 ,88.09 ,66.39 
30381649,004394,541.95 ,287.77 ,244.55 ,232.01 ,127.65 
30000000000000016774,004436,309.10 ,88.11 ,28.76 ,403.24 ,288.30 
30378829,004442,792.88 ,799.69 ,879.06 ,970.91 ,808.51 
30378899,004495,52.16 ,33.00 ,52.44 ,791.85 ,1164.90 
30000000000000021919,004517,293.29 ,118.05 ,279.66 ,772.13 ,2959.74 
30377392,004532,44.69 ,29.14 ,5.55 ,2.57 ,18.84 
30000000000000022183,004597,19.30 ,40.82 ,82.52 ,776.58 ,726.21 
30382125,004617,251.60 ,151.85 ,221.14 ,646.72 ,400.63 
