Manager,NAME,Uni,Frim,degree,major,DB
30000000000000021601,孙鲁闽,澳大利亚新南威尔士大学,南方基金,硕士研究生,商学,1
30000000000000013841,李琪,天津大学,长盛基金,博士研究生,管理学,1
30000000000000016896,吴江宏,厦门大学,汇添富基金,硕士研究生,经济学,1
30382070,吴国清,清华大学,前海开源基金,博士研究生,经济管理学,1
30382538,周户,南开大学,中信建投基金,硕士研究生,经济学,1
30000000000000022604,朱志权,上海财经大学,泰信基金,本科,"经济学,金融证券",1
30000000000000019017,何琦,上海交通大学,华泰柏瑞基金,本科,经济学,1
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30000000000000021040,郝旭东,上海交通大学,诺德基金,博士研究生,金融学,1
30000000000000019538,林材,贵州大学,新疆前海联合,硕士研究生,"理学,药学",0
30381045,刘重晋,北京大学,中金基金,博士研究生,理学,0
30380106,李游,中南财经政法大学,创金合信基金,硕士研究生,金融学,1
30593893,王磊,吉林大学,大成基金,硕士研究生,经济学,1
30000000000000021080,孙丹,美国德克萨斯大学,大成基金,硕士研究生,经济学,1
30000000000000017320,刘杰,外交学院,广发基金,硕士研究生,经济学,1
30381274,牛兴华,英国卡迪夫大学,建信基金,硕士研究生,国际经济、银行与金融学,1
30000000000000021107,郑泽鸿,财政部财政科研所研究生部,华夏基金,硕士研究生,经济学,1
30382534,杨成,上海财经大学,中银基金,硕士研究生,管理学,1
30000000000000017728,徐林明,复旦大学,华宝基金,硕士研究生,经济学,1
30378264,戴杰,复旦大学,汇安基金,硕士研究生,数学,0
30000000000000023484,李晓星,剑桥大学,银华基金,硕士研究生,"理学,管理学",0
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30000000000000158407,赵治烨,北京大学,上银基金,本科,微电子,0
30000000000000017661,宋洋,中国科学院,华夏基金,博士研究生,数学与系统科学,0
30000000000000016964,陆秋渊,复旦大学,华安基金,硕士研究生,经济学,1
30000000000000018879,白海峰,哥伦比亚大学,招商基金,硕士研究生,工商管理,1
30000000000000072235,纪文静,江苏大学,东证资管,硕士研究生,经济学,1
30382067,王霞,北京交通大学,前海开源基金,硕士研究生,经济学,1
30000000000000021414,吴培文,清华大学,汇丰晋信基金,硕士研究生,工学,0
30000000000000017340,刘宁,北京工业大学,嘉实基金,硕士研究生,光学,0
30381649,田汉卿,美国加州大学伯克利分校哈斯商学院,华泰柏瑞基金,MBA/EMBA,MBA,1
30000000000000016774,郑慧莲,复旦大学,汇添富基金,硕士研究生,会计学,1
30378829,黄华,上海财经大学,中欧基金,硕士研究生,产业经济学,1
30378899,黄瑞庆,厦门大学,博时基金,博士研究生,统计学,1
30000000000000021919,林乐峰,北京大学,南方基金,硕士研究生,理学,0
30377392,蔡晓,中国科学院,民生加银基金,硕士研究生,微电子与固体电子学,0
30000000000000022183,孙伟,北京大学,南方基金,硕士研究生,工商管理,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30382314,张倩,上海财经大学,#N/A,本科,经济学,1
30000000000000021146,吕佳玮,清华大学,华夏基金,硕士研究生,工学,0
30000000000000022071,罗文杰,美国南加州大学,南方基金,硕士研究生,"数学金融,计算机科学",1
30381160,缪玮彬,复旦大学,金元顺安,硕士研究生,经济学,1
30000000000000206392,黄春逢,上海交通大学,南方基金,硕士研究生,金融学,1
30382125,薛玲,北京航空航天大学,建信基金,博士研究生,计算机,0
30378692,韩威俊,上海财经大学,交银施罗德,硕士研究生,金融学,1
30000000000000016862,刘江,清华大学,汇添富基金,硕士研究生,工学,0
30378825,宫志芳,武汉大学,财通证券资管,硕士研究生,数理金融,1
30243537,韩浩,北京大学,中航基金,硕士研究生,经济学,1
30000000000000036697,范妍,复旦大学,圆信永丰基金,硕士研究生,管理学,1
30000000000000021635,梁浩,中国人民大学,鹏华基金,博士研究生,经济学,1
30381532,盛豪,英国剑桥大学,华泰柏瑞基金,硕士研究生,数学系,0
30381649,田汉卿,美国加州大学伯克利分校哈斯商学院,华泰柏瑞基金,MBA/EMBA,MBA,1
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30382872,曾文宏,华中师范大学,诺德基金,硕士研究生,数量经济学,1
30378264,戴杰,复旦大学,汇安基金,硕士研究生,数学,0
30000000000000016591,赵耀,香港中文大学,红塔基金,硕士研究生,金融财务工商管理,1
30380233,林英睿,北京大学,广发基金,硕士研究生,经济学,1
30000000000000023262,马君,复旦大学,银华基金,硕士研究生,理学,0
30000000000000022201,庄腾飞,北京大学,宏利基金,硕士研究生,经济学,1
30000000000000023262,马君,复旦大学,银华基金,硕士研究生,理学,0
30381532,盛豪,英国剑桥大学,华泰柏瑞基金,硕士研究生,数学系,0
