Manager,NAME,Fund,CategoryID,Firm,Return,Year,age,size,dc
30000000000000019538,林材,003581.OF,4,新疆前海联合,-0.183556405,1,6.008219178,56.06,0.264336 
30381045,刘重晋,003582.OF,4,中金基金,-0.212150434,1,5.416438356,134.88,0.264336 
30380106,李游,003624.OF,1,创金合信基金,-0.342397518,1,6.164383562,209.01,0.264336 
30593893,王磊,000587.OF,4,大成基金,0.026971149,1,5.564383562,823.94,0.198601 
30000000000000021080,王磊,003692.OF,4,大成基金,0.026971149,1,6.139726027,823.94,0.264336 
30000000000000017320,刘杰,003765.OF,1,广发基金,-0.253872192,1,5.605479452,54.26,0.264336 
30381274,牛兴华,003831.OF,4,建信基金,-0.029166667,1,5.838356164,540.16,0.264336 
30000000000000021107,郑泽鸿,003834.OF,1,华夏基金,-0.252525253,1,5.569863014,490.39,0.023077 
30382534,杨成,001370.OF,4,中银基金,-0.016917469,1,7.276712329,417.09,0.198601 
30000000000000017728,徐林明,000753.OF,4,华宝基金,-0.216037369,1,8.293150685,315.51,0.198601 
30378264,戴杰,003889.OF,4,汇安基金,-0.118166384,1,5.956164384,320.23,0.641958 
30000000000000023484,李晓星,003940.OF,4,银华基金,-0.250431064,1,6.02739726,2796.92,0.264336 
30000000000000022183,孙伟,002656.OF,1,南方基金,-0.227204301,1,6.619178082,50.01,#N/A
30000000000000158407,赵治烨,000520.OF,4,上银基金,-0.209490429,1,7.64109589,250.58,0.023077 
30000000000000017661,宋洋,001015.OF,1,华夏基金,0.007413998,1,6.120547945,135.74,0.264336 
30000000000000016964,陆秋渊,004263.OF,4,华安基金,-0.059551431,1,5.506849315,62.53,0.264336 
30000000000000018879,白海峰,004266.OF,4,招商基金,-0.162112933,1,5.638356164,51.54,0.028671 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.055545912,1,7.471232877,1708.2,0.264336 
30382067,王霞,000423.OF,4,前海开源基金,-0.141162745,1,8.021917808,33.19,0.198601 
30000000000000021414,吴培文,004351.OF,4,汇丰晋信基金,-0.202960433,1,5.583561644,460.26,0.198601 
30000000000000017340,刘宁,002222.OF,4,嘉实基金,0.026029562,1,6.734246575,1215.82,0.264336 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,-0.248742708,1,9.419178082,541.95,0.198601 
