Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
600004.SH,0.750875921,0.451092097,0.575964189,0.641611485,0.48390637,20796.67117,36109.64297,33441.72934,28542.62249,35524.44143,-0.304772449,0.753334328,-0.181917536,-0.14231465,0.244610282
600006.SH,0.992106394,0.808670898,0.413991774,0.588934024,0.734422652,7200,9160,18880,13620,11160,-0.380307692,0.294104444,1.093907424,-0.270738453,-0.174143612
600007.SH,0.536704602,0.42946734,0.638966829,0.595245057,0.573552244,12893.21644,17627.44435,12540.66755,14504.86849,15945.28251,-0.236331389,0.398359375,-0.270003143,0.180684337,0.147784931
600008.SH,0.900724817,1.139892569,1.248682413,1.09452124,1.315232961,19501.08735,18705.1246,20773.87162,25031.41421,20773.87162,-0.321740856,-0.018563265,-0.059063708,0.233383746,-0.141456012
600009.SH,0.288777325,0.210905109,0.20038918,0.305708918,0.27579924,97812.41082,151747.9778,145793.6762,89969.68994,143610.2581,0.139026883,0.563519504,-0.029438324,-0.382897172,0.236024845
600010.SH,0.777711371,0.875947642,0.989849053,0.434541075,0.599023721,67465.84832,60172.2431,53334.4882,127182.2411,87523.26268,-0.396388618,-0.104183784,-0.113636364,1.384615385,-0.306597849
600011.SH,0.818649391,1.264275341,2.012700234,0.831468355,1.094264083,101673.1095,77956.62869,60465.30737,126590.0137,99185.81798,0.214410697,-0.231880488,-0.172163441,1.258764955,-0.214654283
600012.SH,1.112680698,1.207913323,1.23586255,1.055340309,1.05617212,9050.212694,8889.635375,9124.566016,10791.88335,11290.59566,-0.430384273,0.014616915,0.095163265,0.18996699,0.111264548
600015.SH,2.291492107,2.267310473,2.917880447,3.46173089,3.87969615,94759.65437,118020.0079,96170.14989,86168.4543,82598.47875,-0.162056111,0.062071854,-0.151808996,-0.057856,-0.011490357
600016.SH,1.731797748,1.938411276,2.458903368,3.621521209,4.212638667,242565.2768,267665.0752,215354.9452,158574.2473,142411.4546,-0.16945733,0.163550785,-0.124240887,-0.21385,-0.064696154
