Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
834765.BJ,美之高,0,0,0,36.52,-38.23,123.57,180.65,0,0,0,0.1,0.01,0.02,0.03,0.02
834770.BJ,艾能聚,0,0,0,0,0,0,0,0,0,0,0.08,0.02,0.02,0.01,0.01
834950.BJ,迅安科技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835174.BJ,五新隧装,0,0,0,2386.5,-66.17,403.9,597.43,0,0,0,0.07,0.01,0.01,0.02,0.04
835179.BJ,凯德石英,0,0,0,0,-7.91,821.11,0,0,0,0,0.05,0.03,0.02,0.14,0.04
835184.BJ,国源科技,0,0,-47.28,4.69,-45.1,423.26,538.12,522.24,0,0,0.03,0.01,0.02,0.02,0.02
835185.BJ,贝特瑞,0,0,-16.54,292.12,-58.87,29798.74,21512.01,4597.33,0,0,0.04,0.01,0.03,0.03,0.1
835207.BJ,众诚科技,0,0,0,0,-46.99,189.51,0,0,0,0,0.04,0.03,0.02,0.03,0.03
835237.BJ,力佳科技,0,0,0,0,-84.85,164.44,0,0,0,0,0,0,0,0.02,0.05
835305.BJ,云创数据,0,0,0,-20.62,-43.94,656.09,796.44,0,0,0,0.09,0.04,0.03,0.05,0.03
835368.BJ,连城数控,0,0,1136.68,89.29,-50.21,6281.75,12260.14,6207.08,0,0,0.04,0.02,0.03,0.07,0.11
835508.BJ,殷图网联,0,0,-7.04,34.64,-50.21,161.17,228.33,168.16,0,0,0.03,0.02,0.02,0.02,0.03
835640.BJ,富士达,0,0,57.49,135.89,-25.09,2803.72,3656.98,511.97,0,0,0.01,0.01,0.03,0.03,0.07
835670.BJ,数字人,0,0,33.1,123.12,-43.74,530.84,884.57,374.64,0,0,0.05,0.06,0.05,0.06,0.07
835857.BJ,百甲科技,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0.01,0.01,0.02
835892.BJ,中科美菱,0,0,0,0,-76.89,236.05,0,0,0,0,0.01,0.01,0.01,0.02,0.01
835985.BJ,海泰新能,0,0,0,0,-20.84,976.21,0,0,0,0,0.05,0.02,0.01,0.03,0.05
836077.BJ,吉林碳谷,0,0,0,76281.47,-19.12,4779.5,5195.09,0,0,0,0.04,0.04,0.06,0.13,0.25
836149.BJ,旭杰科技,0,0,22.81,59.69,-55.67,186.71,379.65,227.49,0,0,0.02,0.03,0.03,0.02,0.04
836239.BJ,长虹能源,0,0,0,673.28,-73.68,1130.05,4067.67,0,0,0,0,0,0,0.04,0.12
836247.BJ,华密新材,0,0,0,0,-99.99,119.7,0,0,0,0,0,0,0,0,0
836260.BJ,中寰股份,0,0,0,1243.62,-37.38,192.47,310.67,0,0,0,0.01,0.01,0.01,0.02,0.04
836263.BJ,中航泰达,0,0,-48.84,18.93,-8.98,515.24,365.25,318.33,0,0,0.04,0.02,0.02,0.01,0.02
836270.BJ,天铭科技,0,0,0,0,-69.18,118.46,0,0,0,0,0,0,0,0,0.02
836395.BJ,朗鸿科技,0,0,0,0,-38.23,172.63,0,0,0,0,0.01,0.01,0.03,0.04,0.12
836414.BJ,欧普泰,0,0,0,0,-96.64,382.74,0,0,0,0,0.05,0.03,0.03,0.04,0.13
836422.BJ,润普食品,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06
836433.BJ,大唐药业,0,0,-48.48,99.84,-48.97,578.43,797.41,272.61,0,0,0,0.03,0.03,0.02,0.03
836675.BJ,秉扬科技,0,0,-15.96,57.72,-45.72,368.45,421.27,259.58,0,0,0,0.04,0.03,0.05,0.03
836699.BJ,海达尔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836720.BJ,吉冈精密,0,0,0,507029.85,-56.01,297.29,574.74,0,0,0,0,0,0,0.04,0.2
836807.BJ,奔朗新材,0,0,0,0,-99.63,407.16,0,0,0,0,0,0,0.01,0.01,0.04
836826.BJ,盖世食品,0,0,0,363.25,-33.28,306.7,463.31,0,0,0,0.08,0.06,0.04,0.05,0.06
836871.BJ,派特尔,0,0,0,0,-26.52,88.58,0,0,0,0,0,0,0,0.04,0.09
836892.BJ,广咨国际,0,0,0,191.58,-31.63,252.81,311.1,0,0,0,0.01,0.01,0,0.07,0.06
836942.BJ,恒立钻具,0,0,0,0,-98.66,251.4,0,0,0,0,0.03,0.05,0.05,0.03,0.06
836957.BJ,汉维科技,0,0,0,0,-96.96,128.51,0,0,0,0,0.01,0,0.02,0.09,0.03
837046.BJ,亿能电力,0,0,0,0,5.37,88.86,0,0,0,0,0,0.01,0.01,0.01,0.04
837092.BJ,汉鑫科技,0,0,0,5386.66,-49.63,175.65,310.04,0,0,0,0,0.03,0.02,0.06,0.06
837212.BJ,智新电子,0,0,0,466.83,-57.88,358.29,501.7,0,0,0,0.05,0.09,0.07,0.04,0.05
